Agha Khan Comments,Agha Khan Ratings,Agha Khan Sentiment,Coptic Comments,Coptic Ratings,Coptic sentiment,Kenyatta Comments,Kenyatta Rating,Kenyatta sentiment,Kenyatta University Comments,Kenyatta University Ratings,Kenyatta sentiment,Mama Lucy Comments,Mama Lucy Ratings,Mama Lucy sentiment,Mbagathi Comments,Mbagathi Ratings,Mbagathi sentiment,Mshah Comments,Mshah Ratings,Mshah sentiment,Nairobi Hospital Comments,Nairobi Hospital Rating,Nairobi sentiment,Nairobi West Comments,Nairobi West Ratings,Nairobi West sentiment,Pumwani Comments,Pumwani Ratings,Pumwani sentiment,,REVIEW,SENTIMENT,RATING
"Very poor security personnel. How do you check my bag without my consent. Again, this rule that allows women to check men's personal bags is against gender equity.",1,positive,The hospital is so clean that only the presence of doctors will remind you that it's a hospital.,1,positive,"It was busy ,a lot of action",3,positive,Very clean and friendly staff,5,positive,vry nice place to go,5,positive,,,,"Their children hospital has pleasantly surprised me. Their doctors are keen to understand the symptoms, their inpatient staff are quick to respond to room nurse calls and they are genuinely happy to help without frustration. I'll abandon �",4,positive,Excellent services at The Nairobi Hospital,3,positive,"If you think you're going to a hospital think again. I think the City council public toilets are run better than this so called ""hospital"". They will ask for payment even if it's an emergency case. …",5,negative,,,,,"Very poor security personnel. How do you check my bag without my consent. Again, this rule that allows women to check men's personal bags is against gender equity.",positive,1
I had a patient admitted in May all the staff were very Kind especially the ones in the dialysis ward. The food was exceptional and the cleanliness is that of a five star institution. �,5,positive,"The hospital has very slow and poor services. I went in at 8am and wasn't treated until 1pm. The staff have negligence. So, it's definitely not your to go hospital.",1,negative,Very nice place for MEDICAL students in practice and patient treatment,4,positive,"Still under construction, but looks promising",1,positive,Cool stage back home,5,positive,,,,My experience at MP shah has been very pleasant.,5,positive,The facility is great..both inpatient and outpatient services are exquisite.. it hosts some of the top doctors in the country,1,positive,"Am amazed by medical ward services in the new building.
I came across a doctor who is so amazing, caring, professional...Dr. sauda.
I recommend her for best gynaecologist in Kenya. …",5,positive,,,,,I had a patient admitted in May all the staff were very Kind especially the ones in the dialysis ward. The food was exceptional and the cleanliness is that of a five star institution. �,positive,5
"Doctors are good..Premier health facility..but pharmacy, physio, labs, Radiology --- all are terribly slow ...Spent an hour and half at physio since the only lady who can give the stuff was out for lunch...Same with X-ray - took 30 mins for �",3,positive,It's a really nice hospital  and the rooms are just on point,1,positive,I did my internship and am forever greatful for the experience . Best support staff,4,positive,Nice world-class Hospital.,5,positive,They are too slow ☹️☹️☹️,5,negative,,,,Nurse services are terrible for such a facility. Kindness and empathy lacks a great fold.,5,negative,"Great doctors, and great service.... Me and my grannie have been flying out of Uganda to Nairobi hospital for some month now. And since we have been going here she's improved alot",5,positive,"I must say this has to be the worst private hospital I've been to in my entire life as a Kenyan. Terrible customer service, seriously long queues and worst of all complete confusion on how to move from one area to another. I was initially …",5,negative,,,,,"Doctors are good..Premier health facility..but pharmacy, physio, labs, Radiology --- all are terribly slow ...Spent an hour and half at physio since the only lady who can give the stuff was out for lunch...Same with X-ray - took 30 mins for �",positive,3
I wish one could give a zero star.. this is one of the worst hospitals have been. The staff are super slow and very rude ..you will just spend the whole day without any assistance. I just hate this hospital,1,positive,"So apparently if you want to be discharged from
In-patient you have to wait for 4 hours to get your bill,
the staff while smiling at you announce this like an impressive turn around time. Just not acceptable.",3,positive,It was amazing,4,positive,Nice hospital,5,positive,Very helpful staff,2,positive,,,,Amazing services at the private Wing 3rd floor maternity. I was in room 205 the nurses really took care of me and my baby. Special appreciation to nurse Muriithi for sure to him this is a calling. Really encouraged me.  A bit of improvement �,4,positive,"Has adequate safe parking and a number of specialists. The building is clean, has a pharmacy on the ground floor and different doctor’s offices are well labeled.",4,positive,"Maternity wing.
A very friendly facility. Good customer care service. The nurses and doctors are concerned. Meals highly and well prepared.",1,negative,,,,,I wish one could give a zero star.. this is one of the worst hospitals have been. The staff are super slow and very rude ..you will just spend the whole day without any assistance. I just hate this hospital,positive,1
"Waiting times are so long, absolutely terrible!!!! It is even worse if you have to see a doctor, go to the lab, and the pharmacy, a whole day isn't enough!!! The pharmacy is the worst of them all.",1,positive,The nurses are the most rude people. I’ve even seen a couple of reviews here but seems like you guys can’t do anything about it. I was just getting my weight checked and the ladies there were all just rude. It’s like they can’t tell someone to do something in a polite way. So annoying 🤦‍♀️ …,1,negative,"Although it had some tough times with the management, it is an hospital that could solve many cases of illness particularly to the common mwananchi.",4,negative,a hotbed of world class healthcare,5,positive,A lot of corruption going pn,5,negative,,,,The services are quite impressive including the staff PR,5,positive,There is no health care with a difference here. They will treat anyone like trash. They have so many clients so whatever I say here is not going to matter. Please don’t ask for my contact information. This is not a PR stunt,5,negative,"Slowest service I've ever had.

It's like the staff isn't communicating with each other. I've been kept waiting …",1,negative,,,,,"Waiting times are so long, absolutely terrible!!!! It is even worse if you have to see a doctor, go to the lab, and the pharmacy, a whole day isn't enough!!! The pharmacy is the worst of them all.",positive,1
"The Aga Khan Hospital is one of Nairobi's best, offering some of the best doctors and services. However, it is regularly full - almost brimming to capacity. This makes parking a nightmare at times, so it is best to Uber to and fro if �",4,positive,To be quite  honest this hospital is here to actually serve the people they offer amazing medical services and at such affordable rates ... These guys actually have the heart to serve the people as opposed to the other private hospitals who will not even look at you till you have payed upfront... Keep raising standards coptic hospital,5,positive,Doctor's plaza is the best,5,positive,Good Infrastructure!!,4,positive,Good Hospital with Best Service,2,positive,,,,Grateful the patient was well treated and treatment care by staff was excellent,4,positive,Excellent experience delivering my 3rd child. Nurses were very friendly. A real improvement in service.,5,positive,"On behalf of Pauline Mwendwa who has been admitted here for 2 weeks. To my doctors: Dr. Mufaddal, Dr. Mativo, Dr. Obure I am well and thank you so much and I'm happy with your exemplary work. You haven't left any stone unturned. …",4,positive,,,,,"The Aga Khan Hospital is one of Nairobi's best, offering some of the best doctors and services. However, it is regularly full - almost brimming to capacity. This makes parking a nightmare at times, so it is best to Uber to and fro if �",positive,4
Money oriented. Poor maternity services yet very expensive. Also some nurses are very rude. I didn't have a good experience.,1,positive,If there was a rate below that I would give it. Nurses need retraining extremely bad service at the maternity ward. Am very greatful I made it out Alive with my child. Also very slow services not worth all the mula we pay.,1,negative,Very busy but atleast with qualified doctors,5,positive,really concerned about your health,4,positive,Excellent medical services,5,positive,,,,Received excellent support at the pediatric wing with the nurse on duty as well as Dr. Ismail.,5,positive,"Whatever you do, don’t use the main pharmacy. They will have you waiting and seated for hours",5,negative,The organization on-site is not really good but it is the cheapest found for a Covid PCR test in Nairobi (4500 KSH). Check in online before going to the hospital. Payment process on site is a bit long… We spent there 1 hour. You can pay …,1,negative,,,,,Money oriented. Poor maternity services yet very expensive. Also some nurses are very rude. I didn't have a good experience.,positive,1
"this hospital has very hardworking nurses  in Nairobi and is quite hospitable,I wish you would build a hospital in Nakuru,your team in Kisumu hospital however need to match up to the Nairobi standards",5,positive,"Clean hospital, professional staff and security
Best doctors and health workers",1,positive,At the renal department. i think diarisis  equipments need to be added  to speed up the same.process too slow,5,negative,An architectural masterpiece,3,positive,Improved services,5,positive,,,,"The hospital is well organised, equipped state of the art facilities and has friendly and competent staff. I would not hesitate to refer anyone to MPShah.",5,positive,Covid vaccination is issued here.There are no long lines the jab is issued very fast less than 30min you done,1,positive,I discovered this hospital through MOH authorized laboratories for PCR covid test.  I tried to inquire on their site and they quickly replied to my inquiries regarding the price as well as the results. Nairobi West Hospital is cheaper price …,5,positive,,,,,"this hospital has very hardworking nurses  in Nairobi and is quite hospitable,I wish you would build a hospital in Nakuru,your team in Kisumu hospital however need to match up to the Nairobi standards",positive,5
Very slow staff they literally don't care and they are tolerating too much you might die before you get the help you need....worst hospital ever,1,positive,"Why you dont have a Zero here!?  i could have rate a big Zero, horrible hospital very  rüde nurses poor customer service, pathetic Lady doc the night of 31/10/2018 i was in hell pain & she ended up treating me with the wrong medication, …",4,negative,Iam at youth counseling center.  Good customer care and thorough service from medics,5,positive,Its cool,5,positive,God every time in control,5,positive,,,,Very good hospital facility but the ambience of the ward is spoilt by noisy rickety moveable equipment.,5,positive,Am currently at Emergency and the attending personal apart from the Attending doctor and the nurse who received me were extremely rude to me...I have requested to speak to the Administrator but there has been no feedback up to the moment..Kindly Assist,5,negative,"I really appreciate All the Staff. Who have been attending me during my stay in this Hospital... From Dr.Muffadal; Dr .Munga ,The catering departmeT(MADAM ELIKAH) Nurses, The cleaning staff ..... GOD BLESS YOU MORE 🙏🙏 I Say THANK YOU VERY MUCH 🙏🙏🙏🙏(BED NO.116) …",1,positive,,,,,Very slow staff they literally don't care and they are tolerating too much you might die before you get the help you need....worst hospital ever,positive,1
"Had an orthopedic appointment with doctor Atinga- very good doctor. The concern was with the female receptionist in the section. she's biased, tribal and dismisssive. Very little knowhow on working with patients.",3,positive,"Coptic nice  building,  the rooms not bad.Some of the doctors are ok but support staff let them down with their poor service,  I think the nurses and support staff are always on a go slow or forced to work ,  no concern  for patients at all …",1,positive,Cool place to and I am ready to donate 1 kidney,5,positive,Great facilities,5,positive,I lyk the services rendered,1,positive,,,,The tests didn't take a long time as promised and the doctor was very friendly and helpful,3,positive,Was at the hospital yesterday in the evening with a patient who was referred by one of your doctor from casualty for an MRI.when we came back today for payment we were being referred from one cashier point to another.what annoyed me was the …,1,negative,The Triage areas have long queues. The management should add more nurses in that area for efficiency.,5,negative,,,,,"Had an orthopedic appointment with doctor Atinga- very good doctor. The concern was with the female receptionist in the section. she's biased, tribal and dismisssive. Very little knowhow on working with patients.",positive,3
"Absolutely no time keeping, which means no value of their patients. Told to come fasting at 9 o'clock for a stress ecco. Husband diabetic... quick to take your money. Now 12 oclock and still waiting. No explanation.  Not a good experience.",2,positive,Great treatment from the Doctors not so good from the nurses maybe they need a pay rise! A clean and well equipped facility.,1,positive,Kenya's national referral  but I think it needs more equipment especially for cancer patients,4,negative,"Clean, convince, spacious,",5,positive,Great,4,positive,,,,"MP Shah is the best for me. All the staff members treat clients with respect and a lot of love. Every Time I visit the hospital I don't feel strange because of how I'm being received. The services are super and the rooms very clean.
Congratulations MP Shah. The best hospital in Kenya",5,positive,"Nairobi Hospital first floor cashier !!!
Is it possible to streamline the process it’s very unfair to spend hours at your Ist floor payment center it’s very unfair to sit and watch people getting served as you are seated !!! Especially After someone has paid all that money for treatment",5,positive,"The services in maternity ward have been amazing.
I refer any woman who is looking for a hospital to deliver,to visit Nairobi West hospital.",5,positive,,,,,"Absolutely no time keeping, which means no value of their patients. Told to come fasting at 9 o'clock for a stress ecco. Husband diabetic... quick to take your money. Now 12 oclock and still waiting. No explanation.  Not a good experience.",positive,2
Well trained health providers with almost all required machines for tests. Excellent staff!,4,positive,"My sister was there for surgery and almost died due to the negligence of the nurses there, they have the worst nursing care, were the nurses are very insensitive, immature and plain lazy.Some nurses even insulted and mocked her while she was in pain.. i wouldn't recommend the hospital to anyone!!!",4,negative,The best hospital in East and Central Africa.,3,positive,Can't wait.,5,positive,Fair,5,positive,,,,"Very excellent services. Employees of the hospital are ready to help whenever you look like you need assistance. Equal treatment , Very warm reception, I interacted with doctor wachira, little heart team, very friendly. Congratulations MP SHAH HOSPITAL.",5,positive,"If you'd like to see hospital inefficiency at its finest, it's the right place. Don't let adverts lie to you, they have the worst care.",1,negative,"The nurses have been treating my mum well since she was admitted,the room are spacious and clean",5,positive,,,,,Well trained health providers with almost all required machines for tests. Excellent staff!,positive,4
"Don't drive if you have an appointment. It took me an hour to park.. I parked outside the hospital. The guards were rude and mostly incompetent.
The queue at the pharmacy was poorly managed. It took me 40 minutes to see a �",2,positive,"Problem after problem piling up.at coptic Hospital
Problems range from overt disregard for patient welfare to incompetent
misrepresentation of events, errors of fact and outright untruths. this place is dark and full of horror stories. I wouldn't take my dog there.",5,negative,Emergency service executed well.,4,positive,Its all working wow,3,positive,Overcrowded,4,negative,,,,"Good service, have recommended it to my family and friends",5,positive,"I hate this place!!! In other hospitals you'll die for having no doctors.. here, you'll die coz doctors are just chilling taking tea. You'll sit there for hours! And guess what, take a peep inside and you'll see doctors in their own stories and catch ups! I hate this place!!",1,negative,"Came here to get tested for Covid. The process to get tested was smooth but getting the results was hell. First they claim to get results in 4 hours but that’s a sham, I got my results 23 hours later but that’s after I called several times. …",5,negative,,,,,"Don't drive if you have an appointment. It took me an hour to park.. I parked outside the hospital. The guards were rude and mostly incompetent.
The queue at the pharmacy was poorly managed. It took me 40 minutes to see a �",positive,2
"Very professional, great services and friendly professionals in the hospital",5,positive,This Hospital is on Ngong Road Nairobi and is  part of the Coptic Orthodox Church. …,5,positive,"Room 14, at the cash point are very rude",5,negative,Am here,5,positive,Lousy like Lucy,3,negative,,,,"At the time of admission until discharge the nursing care has been excellent. The catering, cleaners lab techs and trainees have a code of caring especially the nurses. Please keep up the great work spirit and team work.",1,positive,This place is overrated … hours of waiting at casualty yet had an emergency… if you av an emergency kindly find another place,1,negative,"Highly recommended.

Reliable and fast PCR test service. I registered in the website at 10:30 pm. Then, I went to the hospital at 11:00 pm and I received my PCR test result in less than 8 hours.",4,positive,,,,,"Very professional, great services and friendly professionals in the hospital",positive,5
"The hospital is detriorating fast, pharmacy i spend a full day waiting, staff are rude, few and unprofessional. Laboratory is a nightmare staff take tea and make you wait the whole day. In addition parking is metered therefore the day makes one pay a higher parking fee. May God help us its  worse than a government hospital",1,positive,"VIP experience at the maternity wing.
The hospital is dope... services are prompt... I would recommend to anyone who wants maternity services.",1,positive,"Visiting hours Visiting Hours

Mon - Sun.  12:30 - 2:00 pm �",2,positive,Well organised.,5,positive,Good for children,1,positive,,,,Services are good and laboratories staff were friendly,5,positive,"They got the best hospital towers in east and central sub sahara africa.checkit out.With the newest engineering specs and advanced technology.it has everything for all,including accesibility easy by pwd",1,positive,"I had good experience with our services,particularly Dr Shatish the procedure he did on my child was successful and the child is now doing good .Thanks Dr Shatish",5,positive,,,,,"The hospital is detriorating fast, pharmacy i spend a full day waiting, staff are rude, few and unprofessional. Laboratory is a nightmare staff take tea and make you wait the whole day. In addition parking is metered therefore the day makes one pay a higher parking fee. May God help us its  worse than a government hospital",positive,1
"Patience is key when you visit here, speaking from experience",5,positive,"the hospital is nice, low rates
the doctor is so patient, and even the immunization room was warm and nurses caring for the children thank you",4,positive,Well  equipped  Hospital  with  many  workers  and  good  service,5,positive,Excellent,5,positive,Good,4,positive,,,,Services are good and laboratories staff were friendly,5,positive,They treat their patients with love 💕 …,5,positive,Very slow even a government facility is more efficient... just choose another hospital or you'll spend your whole day moving from one room to another an admission will take more than 5hours... patients with diabetes are kept waiting for hours nobody check's there blood sugar or anything just people moving with files all over.,5,negative,,,,,"Patience is key when you visit here, speaking from experience",positive,5
"Very disappointed on the over charges st this hospital.  Lab tests 200% over priced. Medicines 200% over charge.
Charges for normal things like face masks and overalls extremely  high cost �",1,positive,Well ❤️‍🩹 concerned Doctors. There services are just superb. …,1,positive,Best and greatest referral hospital in east and central Africa,5,positive,Worldclass medical services,5,positive,Nyc,5,negative,,,,"Dr.mohammed Zeeshan has excellent services ,proper listening skills and explains in details on findings.",5,positive,Misdiagnosed me last week. Have been through hell with the wrong drugs. They are nowadays concerned about revenues and bottom line so as to finance expansion in buildings. Sick. Now I have been admitted elsewhere. Shame,5,negative,"I'd recommend the hospital over and over again, they have the best services,friendly stuff,everything is  orderly and to top it up the hospital is very clean..",2,positive,,,,,"Very disappointed on the over charges st this hospital.  Lab tests 200% over priced. Medicines 200% over charge.
Charges for normal things like face masks and overalls extremely  high cost �",positive,1
"###Do not go to The Aga Khan University Hospital####
The worst medical consultation experience ever.
Spend 5 hours to wait for consultation - 4 hours spent in just admin stuff like �",1,positive,"If you want to see corruption in the healthcare sector visit Coptic dental clinic. You are free to cut queues when you know ""someone"".",1,negative,Moderate service offered but above average specialized services offered,3,positive,Neat place,5,positive,Good services,3,positive,,,,Great service and experience�organized stuff and friendly too. Affordable as well,5,positive,"you people should improve on your communication channel,most of your staff even hang up the phone before you are done talking.bad experience.this is happening the 4th time.",5,negative,"you keep telling people sorry and there is nothing you are doing to improve. your staff are very rude. you are just after money. we had a patient for only 2 nights and we were given a bill of 174,000.was in normal ward, asking why the bill …",5,negative,,,,,"###Do not go to The Aga Khan University Hospital####
The worst medical consultation experience ever.
Spend 5 hours to wait for consultation - 4 hours spent in just admin stuff like �",positive,1
"Brilliant Hospital. Could use some improvement in some service areas but overall, this is a great hospital. Pricey but great.",5,positive,I don't think if I'll stop hating this hospital...how comes my brother died at 1pm when I was there and still they took him to comma said he's still alive then after 3 hrs when I insist th …,5,negative,The place has a lift which is always faulty and the fire exit are full during visiting hours.,4,negative,Patient centered,5,positive,Long ques😪 …,4,negative,,,,MP Shah is the hospital of choice compared to others of the same level.  Staff have excellent communication skills and treat patients with respect.   Am truly proud to be associated with the hospital.   Keep up the good work!!,5,positive,Faster service than KNH...at a cost. Been here several times and haven't seen improvements in parking management other than the usual traffic jam.,1,positive,"Highly recommend. Did my covid pcr test and the results were emailed 5 hours after the samples were collected. To save time, make sure you register online and book for an appointment (on their website) before you go for the test. After …",5,positive,,,,,"Brilliant Hospital. Could use some improvement in some service areas but overall, this is a great hospital. Pricey but great.",positive,5
"Has the best nursing care in Nairobi.
The doctors here are pretty good except that it is a high end hospital so every service will cost you a lot more. �",5,positive,"ICU staff led by Robert, 4th floor staff led by Emily, Excellent Excellent service. The consultant docs especially Dr. Ngari, Dr. Ayo, God bless you and your families. God bless Coptic.",1,positive,"The best hospital in the region,but bogged down by the sheer number of patients",5,positive,Awesome,5,positive,health services for all,5,positive,,,,Excellent services and facilities. Friendly staff. The paediatric Wing is fantastic.,5,positive,"The doctor's office services were very good and fast, but the pharmacy services are horrible. They take too long to dispense the medicines prescribed.",1,positive,To be honest I could've given it 0 stars. My dad was there before he recently passed away due to covid. They literally don't make sure the patient is eating but just drag the food by the floor to them. They were even yelling at him and all …,1,negative,,,,,"Has the best nursing care in Nairobi.
The doctors here are pretty good except that it is a high end hospital so every service will cost you a lot more. �",positive,5
"They are too slow, my mom was admitted to the the hospital with stomach pains and upon admission the following morning they were supposed to do O. D.G,so we eagerly awaited untill 5o'clock that day only to be told that she took breakfast �",2,positive,"The best hospital with the Best service,from the reception",4,positive,From 6th Floor of the Facility: Blue Men,5,positive,I landed there,5,positive,Poor,5,negative,,,,General handling was great. Staff are courteous (all cadres),4,positive,I gave birth in this hospital the staff was friendly my Husband was hospitalized when I was pregnant and I was allowed in even non visiting hours and even given an extra plate of food at no cost yeah thats Nairobi Hospital.,4,positive,"Admitted yesterday bed no 442,served well by sister Jane during the night shift and Maggy today.I appreciate the prompt services good care they gave me.",5,positive,,,,,"They are too slow, my mom was admitted to the the hospital with stomach pains and upon admission the following morning they were supposed to do O. D.G,so we eagerly awaited untill 5o'clock that day only to be told that she took breakfast �",positive,2
"The testing was ok, problem arose when you needed the results sent to you by your email and noone responds, making matters worse ,if you have done the  test for travel which is time sensitive there is no sense of urgency, on top of all this they up the fees on the covid test and do not update any of the websites.",1,positive,"Good service and treatment., maybe could speed up a few processes. Overall. I would recommend for outpatient care over any other facilty. Reasonable costs too.",1,positive,Not fast enough services but all the same gives health services to alot of not very able people,3,negative,Nice place,4,positive,Nice hospital,1,positive,,,,Best services and very supportive doctors and staff in general.,5,positive,Have always received the very best treatment here. Very qualified Doctor's and a great nursing community.,2,positive,"It's a trusted provider of the Covid-19 tests. I had a sample taken and tested here, results were out in record time.
And the elevations of the newly built complex are aesthetically pleasing. It's architecture seems to say 'forget your sorrows'.",1,positive,,,,,"The testing was ok, problem arose when you needed the results sent to you by your email and noone responds, making matters worse ,if you have done the  test for travel which is time sensitive there is no sense of urgency, on top of all this they up the fees on the covid test and do not update any of the websites.",positive,1
"Every time I go to the tmall branch I leave very frustrated. Either they lack a test that I have to travel to get Or they lack a medicine that I need. They also lack personalised service. Every time you go, there is a different doctor. �",1,positive,"Had an Awesome experience at the maternity wing, the nursing care was 👌👌 …",2,positive,Maybe it's just a public hospital thing... slow service response,2,positive,quality infrastructure,4,positive,Busy  hospital 🏥 …,5,positive,,,,"Always have a wonderful experience here. Everyone is very kind, which is the epitome of the hospital.",5,positive,Customer service no.......,5,negative,"Very poor services and quite slow, I won’t encourage one to pay a visit. I went for treatment and described my feelings and the much he did was to diagnose me with hypertension and prescribed some drugs plus some pain killers, I went out to …",5,negative,,,,,"Every time I go to the tmall branch I leave very frustrated. Either they lack a test that I have to travel to get Or they lack a medicine that I need. They also lack personalised service. Every time you go, there is a different doctor. �",positive,1
I don't know what to think of this hospital any more. Underwent through an open mycmectomy and discharged in three days but had to be readmitted with a serious infection on the wound. Had to go back to theatre and pay Kshs.1.5M to clear the �,1,positive,"Cpptic hosipital has the best facility so far But it's wanting especially in nursing care,the nurses are very few.Owe an to you if you go for surgery, you are taken to floor where you are put 3 of you in 1 room..to make the matters worse if …",3,positive,The place is not to the standard as to assist the low class cause it seems who knows you.......please serve everyone.and service to human is service  to God.,4,positive,My university,4,positive,Good hospital,5,positive,,,,"Wellness clinics - 5 star rating .Dr Wakesho -excellent excellent Doctor Jacqueline,Eve ,Mercy excellent staff at the desk .",5,positive,"The staff are friendly but their discharge procedures are unbelievably long. It took us over five hours!
In addition, they sneaked in additional charges. Some were reversed when we complained, but they refused to reverse some.",5,negative,"I have been suffering from leukemia disease, initially i didn't know what  suffering from
Until when i visited Nairobi west hospital, who did several tests and realized i …",1,negative,,,,,I don't know what to think of this hospital any more. Underwent through an open mycmectomy and discharged in three days but had to be readmitted with a serious infection on the wound. Had to go back to theatre and pay Kshs.1.5M to clear the �,positive,1
All other services are excellent except the pediatric pharmacy is the worst most slow I have ever encountered. I am really frustrated.,3,positive,The pricing is very affordable kudos on that but the waiting time is unacceptable before they get your file and deliver it to the nurses it takes ages I got in at 10am it's 2:05 still waiting this is a private hospital I'd expect better,1,positive,"The staff are friendly. There is good service,and the place is secure.",4,positive,Magnificent,1,positive,Kind people,5,positive,,,,Last time the cashiers from the lab a lady was not nice and I was in so much pain. Today the experience at  children's area awesome is an understatement.,5,negative,"This hospital deserve a zero at the most. Unprofessional staff, lack of empathy, highly disrespectful and disorganized.",3,negative,This is the worst hospital I've ever been to. You're better of going to Kenyatta hospital. You'll get better and faster service there. They are disorganized and rude. There are no waiting bays no queue system if you don't know the nurse you're  going to be there all day,5,negative,,,,,All other services are excellent except the pediatric pharmacy is the worst most slow I have ever encountered. I am really frustrated.,positive,3
WORST HOSPITAL IN KENYA........ This hospital is just a money making machine. My sister went in with a headache and being admitted and being missed diagnosed for 3/4 days which you pay stupid amounts of money for incompetent stuff and �,1,positive,"Hell on Earth as has been said. Rude staff. Booked an exec room for my niece and as she was still in surgery, they called the guards and head of security to evict us at 2pm as she was in the recovery room. This could be done with empathy …",1,negative,Terrific service within the resources available. God bless,3,negative,,5,,Clean hospital,4,positive,,,,The best hospital ever it being my first time kudos from the top management all the way to the subordinates,5,positive,The wait is unreasonable no matter what your there for the lady @ the lab reception is also about as an aware of the procedures as you are.,3,negative,I am an employee and I love working with TNWH. You'll find most speciality clinics.,5,positive,,,,,WORST HOSPITAL IN KENYA........ This hospital is just a money making machine. My sister went in with a headache and being admitted and being missed diagnosed for 3/4 days which you pay stupid amounts of money for incompetent stuff and �,positive,1
"Postponement of surgery (from 9.00 am) and I was not notified since morning until I complained a lot hence spending the whole day without breakfast, water and lunch. It was in the afternoon when I was told that the surgery was to be done in �",1,positive,"The services at the hospital are fast and efficient with the only downside being limited parking spaces for incoming patients and the security guards hoard most of them as ""reserved""",5,positive,Busy,3,positive,,4,,Referral hospital.,4,positive,,,,I got very good services..Dr. Sharma is superb. He has taken good care of my teeth for years. May God bless him n keep him well.,4,positive,Excellent hospital and I wanna job in Your hospital. I have done bsc N since 2015 .and now m working in ck Birla hospital jaipur India. So what's can I do ?please,1,positive,"Considering the number of patients this hospital receives in a day, is too much for the management  to employ more people at the registration desk? And friendly ones for that matter? Goodness! Don’t compromise quality services at the expense of profit 😏😏 …",1,positive,,,,,"Postponement of surgery (from 9.00 am) and I was not notified since morning until I complained a lot hence spending the whole day without breakfast, water and lunch. It was in the afternoon when I was told that the surgery was to be done in �",positive,1
"I came here to get rapid antigen test,  unbeknownst to me I didn't know kenya required PCR test to get out of the country!!! That doesn't make sense to me, I was only preparing for rules of entering country, (usa) and rapid antigen 1 �",5,positive,Starting from the receptionist worst customer service I have ever encountered. 2nd disappointing visit now confirms its my final one.,5,negative,I am a nurse here and rate our performance highly.,2,positive,,5,,Nice Hospital......,3,positive,,,,The nursing staff are excellent... problem comes to the corporate side there's some laxity and poor team coordinations when it comes to admission process and discharge the desks are empty mostly to get someone to help you directly is hard �,5,negative,The health care givers are well trained and are professional. They are kind and compassionate.  God bless them all,1,positive,The services offered to me were very good I actually can't thank them enough. I pass my special gratitude to Dr saudah the gynaecologist who took good care of me asante sana.,5,positive,,,,,"I came here to get rapid antigen test,  unbeknownst to me I didn't know kenya required PCR test to get out of the country!!! That doesn't make sense to me, I was only preparing for rules of entering country, (usa) and rapid antigen 1 �",positive,5
"Great reception
More parking space",5,positive,"Been here since 9.30 in the a.m. Mum's unwell and has been seen by three different docs of caucasian extraction,each separately asking the same things. The last one to see her at about 2 p.m seemed to know what he was doing until he started …",5,negative,"Very poor and slow services, very rude and ignorant staffs",5,negative,,5,,Wouldn't recommend...I booked a special clinic early April this year to see a dermatologist on 20/6/22..I came on Monday and was told to book another day that day he sees a regular..I booked on Friday...Today I have also been sent back to come on Monday... the dermatologist doesn't want to bother anyone,4,negative,,,,I am a frequent customer at the MP Shah hospital and i love it there especially at the village market. Yesterday 25.06.2023 we had to go to the main one because my partner was using NHIF. Everybody was friendly except the Dr. Ms Beverly �,4,positive,Offers a complete comprehensive solutions to most of your medical problems. They have a good list of qualified consultants that you can be available to attend to you.,5,positive,"Best services. Nurses,doctors and staff are kind and caring.",1,positive,,,,,"Great reception
More parking space",positive,5
"The main hospital is terrible.  You wait 2 hours to be seen at the triange, another 2 hours to see the doctor.  Crazy.
On 22/12/2017 after waiting for 3 hours a lady at the entrance A said I couldn't �",1,positive,"The five stars is for Hamisi who mand the main front door into the hospital. Pleasant, professional and compassionate when I was ill and could barely walk.",5,positive,It's okay it has good services too.,5,positive,,5,,"Because you are saying goodbye, you have been called dMu",1,positive,,,,Very friendly staff. Clean environment and top notch services.,5,positive,Good medical care centre,5,positive,"I had a close friend admitted at this facility. He had blood transfusion done at this facility. He started complaining saying he feels someone else. After being discharged, he stayed for two days and passed on. It was so painful on our …",5,negative,,,,,"The main hospital is terrible.  You wait 2 hours to be seen at the triange, another 2 hours to see the doctor.  Crazy.
On 22/12/2017 after waiting for 3 hours a lady at the entrance A said I couldn't �",positive,1
The waiting times are incredibly long even when there are no customers/patients in the waiting area. The receptionists are rather disinterested and unhelpful.,1,positive,"Still in process so my review is not final
But as such the building is great, the VIP room is great but so far we had to wait for like 5 hours to get the room, there is not much help so far, I just hope that the nurses and the doctors will do their job.",1,positive,i am willing to donate my one kidney can i,4,positive,,1,,I will tell you later...,1,negative,,,,"Enjoyable stay
MP Shah why hadn't I discovered you earlier",5,positive,Very good hospital. Probably the best in Nairobi. Modern facilities. I'd go to this hospital if I needed treatment.,4,positive,Came in very Ill and not able to move due to acute pancreatitis but my few days admission here saw me through able hands of great teams of doctors and nurses who helped save my life. Asante Sana,1,positive,,,,,The waiting times are incredibly long even when there are no customers/patients in the waiting area. The receptionists are rather disinterested and unhelpful.,positive,1
